Tous les articles (sauf vulgarisation)
Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Lieu de publication;Editeur revue;Pages;Titre conférence;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;NNT;URL;DOI;Pubmed;Référence locale;ArXiv;Description;Voir aussi;Fait référence à;Réf. HAL;ANR associated funding;EU associated funding;Rang HCERES (Economie-Gestion);Rang HCERES (Toutes disciplines);Rang CNRS;Commentaire;Référence interne
Fiori S.;2009;;Couleur et transparence : compte-rendu des Rencards de l'Acétylène, 7ème édition;La lettre de l'ACE;;;28;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995563;;;;;;;
Germon O.;2009;;Les chorégraphies urbaines des piétons parisiens : entre règles spatiales et règles sociales;Géographie et cultures;;;70;;;;;;pp. 57-78;;;;;;;;;;;;;;;;;https://gc.revues.org/2305;;;;;;;;hal-00978331;;;;;;;
Juan Cantavella A.;2009;;De l'architecture événement à l'événement ordinaire : du tremblement de terre du Belice à la réalité de Gibellina Nuova;Cahiers thématiques;;;8;;;;;;69-77;;;;;;;;;;;;;;;;;http://www.editions-msh.fr/livre/?GCOI=27351100578940&fa=sommaire;;;;;;;;hal-00978332;;;;;;;
Kazig R.;2009;;Die Neuthematisierung der materiellen Welt in der Humangeographie;Berichte zur deutschen Landeskunde;;83;2;;;;;;p. 109-128;;;;;;;;;;;;;;;;;;;;;;;;;hal-02558066;;;;;;;
Masson D.;2009;;Musique à bord ! Transports collectifs et expression musicale.;Les Cahiers du GERHICO;;;13;;;;;;75-86;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00441985;;;;;;;
Petiteau J.-Y., Bridier S.;2009;;Itinéraire de Jean Bricard;Fusées;;;15;;;;;;80-85;;;;;;;;;;;;;;;;;;;;;;;;;hal-00980740;;;;;;;
Rodriguez G., Siret D.;2009;;The future of houses : what real-estate ads tell about the evolution of single-family dwellings;Archnet-IJAR International Journal of Architectural Research;;3;1;;;;;;92-100;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00568180;;;;;;;
Amphoux P.;2008;;Aux écoutes de la fenêtre;Patrimoine et architecture : République et Canton de Genève;;;n°16;;;;;;pp. 8-13;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995549;;;;;;;
Augoyard J.-F., Paquot T. P.;2008;;L'invité;Urbanisme;;;;;;;;;73-80;;;;;;;;;;;;;;;;;;;;;;;;;hal-00980728;;;;;;;
Augoyard J.-F.;2008;;La construction des atmosphères quotidiennes : l'ordinaire de la culture;Culture et recherche;;;114;;;;;;58-60;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995558;;;;;;;
Bonicco-Donato C.;2008;;Rigidité et souplesse de l'ordre de l'interaction chez Erving Goffman;Klesis - Revue philosophique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hal-01542934;;;;;;;
Drozd C., Siret D., Marenne C.;2008;;POUR UNE APPROCHE SENSIBLE DE L'ARCHITECTURE, LE ROMAN NATURALISTE;Equinoxes;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00418333;;;;;;;
Kazig R.;2008;;Typische Atmosphären städtischer Plätze. Auf dem Weg zu einer anwendungsorientierten Atmosphärenforschung;Die Alte Stadt;;35;2;;;;;;147-160;;;;;;;;;;;;;;;;;http://www.forum-stadt.eu/,Lde/start/Zeitschrift.html;;;;;;;;hal-00978333;;;;;;;
Melemis S., Masson D., Aït-Sidhoum N.;2008;;Figures spatiales émergentes : la ville aux frontières de l'impensé;Lieux Communs - Les Cahiers du LAUA;;;11;;;;;;59-75;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00605292;;;;;;;
Pecqueux A.;2008;;« Les cultures visuelles des auditeurs-baladeurs »;Lieux communs;;11;Cultures visuelles de l'urbain contemporain;;;;;;42-57;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00450039;;;;;;;
Romieu P.;2008;;Les voix d'un paysage : Riez;Verdons;;;26;;;;;;103-112;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995569;;;;;;;
Tahrani S., Moreau G.;2008;;Integration of immersive walking to analyze urban daylighting ambiences;Journal of Urban Design;;13;1;;;;;;99-123;;;;;;;;;;;;;;;;;;;;;;;;;hal-00285945;;;;;;;
Thibaud J.-P.;2008;;A ambiência : trilhando caminho para uma perspectiva internacional;RUA (Campinas, Brésil);;1;14;;;;;;1-5;;;;;;;;;;;;;;;;;;;;;;;;;hal-00980743;;;;;;;
Thibaud J.-P.;2008;;Je - tu- il, la marche aux trois personnes;Urbanisme;;;359;;;;;;63-65;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00502589;;;;;;;
Amphoux P.;2007;;La città suonante, dalla teoria alla pratica. Percezione ed elaborazione del suono per la progettazione urbana = Die klingende Stadt, die Wahrnehmung und Gestaltung der Klänge in der Stadtplanung;Atlas : rivista quadrimestriale dell'Istituto nazionale di urbanistica Alto Adige;;;31;;;;;;39-52;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995546;;;;;;;
Amphoux P.;2007;;Trois attentes dans l'espace suburbain;BrU Planning a Capital : revue quadriennale bruxelloise de l'aménagement du territoire;;;1;;;;;;28-31;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995547;;;;;;;
Augoyard J.-F.;2007;;A comme Ambiance (s);Cahiers de la recherche architecturale et urbaine;;;20;;;;;;33-37;;;;;;;;;;;;;;;;;;;;;;;;;hal-00978318;;;;;;;
Aventin C.;2007;;Les arts de la rue pour observer, comprendre et aménager l'espace public;Travaux de l'Institut de Géographie de Reims. Dossier ' Art et espace ';;;123;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00068117;;;;;;;
Balaÿ O.;2007;;L'espace sonore de la ville au XIXème siècle;Rue Descartes;;;56;;;;;;123-125;;;;;;;;;;;;;;;;;;;;;;;;;hal-00978320;;;;;;;
Bonicco-Donato C.;2007;;Une critique d'explication par les causes finales : l'anticontractualisme de Hume. Une histoire naturelle du politique;Dialogue: Canadian Philosophical Review / Revue canadienne de philosophie;;46;;;;;;;637-662;;;;;;;;;;;;;;;;;;10.1017/S0012217300002158;;;;;;;hal-01525429;;;;;;;
Melemis S.;2007;;Note de lecture de Richard, Klein, Rob Mallet-Stevens. La villa Cavrois;Cahiers de la recherche architecturale et urbaine;;;20;;;;;;260-262;;;;;;;;;;;;;;;;;;;;;;;;;hal-00978338;;;;;;;
Regnault C., Fiori S.;2007;;La conception des ambiances. Concepteurs sonores, figures professionnelles émergentes des ambiances architecturales et urbaines;Culture et recherche;;;113;;;;;;19-21;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995567;;;;;;;
Sarradin F., Siret D., Couprie M., Teller J.;2007;;Comparing sky shape skeletons for the analysis of visual dynamics along routes;Environment and Planning B: Planning and Design;;34;5;;;;;;840-857;;;;;;;;;;;;;;;;;https://journals.sagepub.com/doi/10.1068/b32143;10.1068/b32143;;;;;;;hal-00285927;;;;;;;
Thibaud J.-P.;2007;;L'ambiance, chemin faisant. Vers une perspective internationale;Culture et recherche;;;113;;;;;;31-32;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995571;;;;;;;
Thibaud J.-P.;2007;;La fabrique de la rue en marche. Essai sur l'altération des ambiances urbaines;Flux - Cahiers scientifiques internationaux Réseaux et territoires;;;66;;;;;;111-119;;;;;;;;;;;;;;;;;;;;;;;;;hal-00978341;;;;;;;
Thomas R.;2007;;La marche en ville : Une histoire de sens;Espace Geographique;;;1;;;;;;p. 15-26;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00388489;;;;;;;
Thomas R.;2007;;La ville charnelle;Cosmopolitiques;;;15;;;;;;p. 111-120;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00596769;;;;;;;
Tixier N.;2007;;L'usage des ambiances;Culture et recherche;;;113;;;;;;10-11;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995572;;;;;;;
Amphoux P.;2006;;L'aménagement des territoires et les professionnels de la maîtrise d'oeuvre;Cahiers thématiques;;6;;;;;;;109-115;;;;;;;;;;;;;;;;;;;;;;;;;hal-00974805;;;;;;;
Amphoux P.;2006;;Une "Expertise Ambiance" est-elle possible ? Réserves, propositions et plaidoyer;Cahiers RAMAU;;4;;;;;;;57-68;;;;;;;;;;;;;;;;;http://www.ramau.archi.fr/spip.php?article18;;;;;;;;hal-00980727;;;;;;;
Aventin C.;2006;;Les arts de la rue ou comment l'espace public prend corps;Lieux Communs - Les Cahiers du LAUA;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00087639;;;;;;;
Balaÿ O.;2006;;La transformation auditive de la ville au XIXe siècle;Les cahiers de l'IPRAUS;;;;;;;;;155-163;;;;;;;;;;;;;;;;;http://www.editions-recherches.com/sommaire.php?id=24;;;;;;;;hal-00995561;;;;;;;
Balez S.;2006;;Trois silences odorants;Local contemporain;;;;;;;;;34-38 p.;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00596748;;;;;;;
Fiori S., Arnaud I.;2006;;Matériel spécifique : faire progresser la réflexion;La lettre de l'ACE;;;23;;;;;;1-3;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995564;;;;;;;
Leroux M.;2006;;De l'écoute de l'hôpital à sa gestion sonore;Soins gérontologiques;;;57;;;;;;22-24;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995565;;;;;;;
Mirela R., Marjorie M., Christian I., Dominique G.;2006;;Modeling the influence of vegetation and water pond on urban microclimate;Solar Energy;;80;4;;;;;;435-447;;;;;;;;;;;;;;;;;;;;;;;;;hal-00285896;;;;;;;
Romieu P.;2006;;La Saint-Blaise a-t-elle un secret ? Place des conduites sonores dans l'engendrement festif;Verdons;;;23;;;;;;81-109;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995568;;;;;;;
Siret D., Musy M., Ramos F., Groleau D., Joanne P.;2006;;Développement et mise en œuvre d'un SIG 3D environnemental urbain;Revue Internationale de Géomatique;;16;1;;;;;;71-91;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00572944;;;;;;;
Ahmed C M., Marc S., Musy M.;2005;;Building Zonal Thermal and Airflow Modelling – A Review;International journal of ventilation;;4;2;;;;;;177-188;;;;;;;;;;;;;;;;;;;;;;;;;hal-00285890;;;;;;;
Augoyard J.-F.;2005;;SpectActeur d'une culture "hors les murs";Culture et recherche;;4;106-107;;;;;;pp.36-39;;;;;;;;;;;;;;;;;;;;;;;;;hal-02103993;;;;;;;
Augoyard J.-F.;2005;;Spectateur urbain d'une culture hors les murs;Culture et recherche;;;106;;;;;;36-37;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995556;;;;;;;
Augoyard J.-F.;2005;;Une physique contextuelle des ambiances urbaines;Culture et recherche;;;104;;;;;;21-22;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995557;;;;;;;
Aventin C.;2005;;La réception des spectacles de rue : pratiques et perceptions de l'espace;Carnets de bord : revue de jeunes chercheurs en sciences humaines;;;8;;;;;;27-34;;;;;;;;;;;;;;;;;;;;;;;;;hal-00980730;;;;;;;
Balaÿ O.;2005;;La clarté de l'audible dans l'espace architectural et urbain;Voir (barré);;;30;;;;;;100-105;;;;;;;;;;;;;;;;;;;;;;;;;hal-00980732;;;;;;;
Balaÿ O.;2005;;Le projet sonore pour l'habitant de la Saline de Chaux (1804);Echo Bruit, le magazine de l'actualité de l'environnement sonore;;;109;;;;;;19-23;;;;;;;;;;;;;;;;;;;;;;;;;hal-00995560;;;;;;;
Chelkoff G.;2005;;Approche écologique de kinesthèses sonores : expérimentation d'un prototype d'abri public et ergonomie acoustique;Acoustique et Techniques;;;41;;;;;;24-32;;;;;;;;;;;;;;;;;http://www.bruit.fr/nos-services-aux-acteurs-du-bruit/publications/acoustique-et-techniques-trimestriel-d-information-des-professionnels-de-l-acoustique/;;;;;;;;hal-00980735;;;;;;;
G. Mestayer P., Durand P., Augustin P., Bastin S., Bonnefond J.-M., Bénech B., Campistron B., Coppalle A., Delbarre H., Dousset B., Drobinski P., Druilhet A., Fréjafon E., S. B. Grimmond C., Irvine M., Kergomard C., Kermadi S., Lagouarde J.-P., Lemonsu A., Lohou F., Long N., Masson V., Moppert C., Noilhan J., Offerle B., Groleau D., R. Oke T., Pigeon G., Puygrenier V., Roberts S., Rosant J.-M., Sanïd F., Salmond J., Talbaut M., Voogt J.;2005;;The urban boundary-layer field campaign in Marseille (UBL/CLU-ESCOMPTE): set-up and first results;Boundary-Layer Meteorology;;114;;;;;;;315-365;;;;;;;;;;;;;;;;;;10.1007/s10546-004-9241-4;;;;;;;hal-00111637;;;;;;;
Hossam Eldien H., Woloszyn P.;2005;;The acoustical influence of balcony depth and parapet form: Experiments and simulations;Applied Acoustics;;66;5;;;;;;533;;;;;;;;;;;;;;;;;;10.1016/j.apacoust.2004.09.004;;;;;;;hal-01555283;;;;;;;
Joubert P., Le Quere P., Beghein C., Collignan B., Couturier S., Glockner S., Groleau D., Lubin P., Musy M., Sergent A., Vincent S.;2005;;A numerical exercise for turbulent natural convection and pollutant diffusion in a two-dimensional partially partitioned cavity;International Journal of Thermal Sciences;;44;;;;;;;311-322;;;;;;;;;;;;;;;;;;;;;;;;;hal-00285872;;;;;;;
Regis S., Doncescu A., Fuchs P., Moreau G.;2005;;Dense stereo correspondence using quarters of wavelets transform;International Journal of Pattern Recognition and Artificial Intelligence;;19;1;;;;;;21-44;;;;;;;;;;;;;;;;;;;;;;;;;hal-00605233;;;;;;;
Thibaud J.-P.;2005;;Psicologia ambiental e politica ambiental : estrategias de construcao do futuro;Psicologia USP (Universidade de Sao Paulo);;;1;;;;;;205-212;;;;;;;;;;;;;;;;;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642005000100022&lng=pt&tlng=pt;;;;;;;;hal-00980742;;;;;;;
Torgue H.;2005;;Immersion et Émergence : qualités et significations des formes sonores urbaines;Espaces et sociétés (Paris, France);;Vol. 3;N°122;;;;;;157-167 p.;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00380151;;;;;;;
Amphoux P.;2004;;Du programme d'assainissement acoustique au projet de requalification sonore. L'exemple du viaduc de Chillon;Les Cahiers de l'ASPAN : Association Suisse Pour l'Aménagement National;;;2;;;;;;X-XI;;;;;;;;;;;;;;;;;;;;;;;;;hal-00974804;;;;;;;
Amphoux P.;2004;;Exposer l'architecture : Propos autour d'un pléonasme fondateur;Faces, Journal d'architecture;;vol. hiver 2003-2004;n°53;;;;;;p. 18-22;;;;;;;;;;;;;;;;;;;;;;;;;hal-01561625;;;;;;;
Amphoux P.;2004;;Le renouvellement urbain en marche;Les Annales de la Recherche Urbaine;;;n°97;;;;;;pp. 137-140;;;;;;;;;;;;;;;;;;;;;;;;;hal-01561784;;;;;;;
Balaÿ O.;2004;;Discrete mapping of urban soundscapes;Soundscape, The Journal of Acoustic Ecology;;5;1;;;;;;pp. 13-14;;;;;;;;;;;;;;;;;;;;;;;;;hal-02161297;;;;;;;
Balaÿ O.;2004;;Les chorographies de l'urbanité sonore;Géocarrefour - Revue de géographie de Lyon;;78;2;;;;;;159-167 p.;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00380022;;;;;;;
Eldien H. H., Woloszyn P.;2004;;Prediction of the sound field into high-rise building facades due to its balcony ceiling form;Applied Acoustics;;65;;;;;;;431;;;;;;;;;;;;;;;;;;10.1016/j.apacoust.2003.11.002;;;;;;;hal-01555290;;;;;;;
Moreau G., Fuchs P., Stergiopoulos P.;2004;;Applications of Virtual Reality in the manufacturing industry: from design review to ergonomic studies;Mechanics & Industry;;5;1;;;;;;pp. 171-179;;;;;;;;;;;;;;;;;;;;;;;;;hal-00783761;;;;;;;
Siret D., Houpert S.;2004;;A geometrical framework for solving sunlighting problems within CAD systems;Energy and Buildings;;36;4;;;;;;343-351;;;;;;;;;;;;;;;;;;10.1016/j.enbuild.2004.01.010;;;;;;;halshs-00573759;;;;;;;
Siret D.;2004;;Généalogie du brise-soleil dans l'œuvre de Le Corbusier : Carthage, Marseille, Chandigarh;Cahiers thématiques;;;4;;;;;;169-181;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00574248;;;;;;;
Thibaud J.-P.;2004;;De la qualité diffuse aux ambiances situées;Raisons Pratiques;;;n°14;;;;;;pp. 227-253;;;;;;;;;;;;;;;;;;;;;;;;;hal-01560048;;;;;;;
Thibaud J.-P., Thomas R.;2004;;L'ambiance comme expression de la vie urbaine;Cosmopolitiques. Cahiers théoriques pour l'écologie politique;;;n°7;;;;;;pp. 102-113;;;;;;;;;;;;;;;;;;;;;;;;;hal-01560039;;;;;;;
Thomas R.;2004;;L'accessibilité des piétons à l'espace public urbain : un accomplissement perceptif situé;Espaces et sociétés (Paris, France);;;113-114;;;;;;233-249;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00143380;;;;;;;
Thomas R.;2004;;Quand le pas fait corps et sens avec l'espace : aspects sensibles et expressifs de la marche en ville;Cybergeo : Revue européenne de géographie / European journal of geography;;;261;;;;;;12 pages;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00143207;;;;;;;
Augoyard J.-F.;2003;;Une sociabilité à entendre;Espaces et sociétés (Paris, France);;4;115;;;;;;pp.25-42;;;;;;;;;;;;;;;;;;;;;;;;;hal-02103994;;;;;;;
Balaÿ O.;2003;;Trois utopies sonores pour la ville contemporaine;Espaces et sociétés (Paris, France);;;115;;;;;;pp. 60-77;;;;;;;;;;;;;;;;;;;;;;;;;hal-02161275;;;;;;;
Chelkoff G.;2003;;Autour des ambiances : interdisciplinarité et circulation des savoirs;Les Cahiers de la recherche architecturale / Les Cahiers de la recherche architecturale et urbaine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;halshs-01295558;;;;;;;
Couic M.-C., Roux J.-M., Aventin C., Balez S., Duarte P., Tsabaslidou S.;2003;;Un quartier en projet(s). La colline du Crêt-de-Roch (Saint-Etienne, Loire);Alinéa;;;;;;;;;145-163;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00395083;;;;;;;
Amphoux P.;2002;;La marguerite, le rhizome et le puzzle : Trois concepts pour Lausanne Jardins'04, 3ème festival international du jardin urbain;Tracès - Bulletin technique de la Suisse romande;;;n°22;;;;;;pp. 16-17;;;;;;;;;;;;;;;;;;;;;;;;;hal-01561455;;;;;;;
Kazig R.;2002;;Ablasshandel oder emanzipatorisches Printmedium? Zur armutspolitischen Funktion von Straßenzeitungen;Forschungsjournal neue soziale Bewegungen;;;4;;;;;;p. 73-78;;;;;;;;;;;;;;;;;;;;;;;;;hal-02569426;;;;;;;
Monin E., Descat S., Siret D.;2002;;L'émergence du développement durable au regard des mutations de l'histoire urbaine;Les Annales de la Recherche Urbaine;;;92;;;;;;p. 7-16;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00574278;;;;;;;
Thibaud J.-P.;2002;;L'horizon des ambiances urbaines;Communications;;;73;;;;;;185-201;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00112184;;;;;;;
Amphoux P.;2001;;Petit manifeste pour une métamorphose de la pédagogie du projet. Le projet en aménagement : formations et contextes;Trames - Revue de l'aménagement;;;n°13;;;;;;pp. 25-34;;;;;;;;;;;;;;;;;;;;;;;;;hal-01561340;;;;;;;
Balaÿ O., Buffet V.;2001;;Daquar : du diagnostic acoustique d'un quartier à l'urbanité sonore;Echo Bruit, le magazine de l'actualité de l'environnement sonore;;;97;;;;;;pp. 46-49;;;;;;;;;;;;;;;;;;;;;;;;;hal-02163944;;;;;;;
Thibaud J.-P.;2001;;Frames of Visibility in Public Places;Places. A Forum of Environmental Design;;14;n°1;;;;;;pp. 42-47;;;;;;;;;;;;;;;;;;;;;;;;;hal-01560019;;;;;;;
Nivet M. L., Faucher D.;2000;;Playing with design intents: integrating physical and urban constraints in CAD;Automation in Construction;;9;1;;;;;;93-105;;;;;;;;;;;;;;;;;https://www.sciencedirect.com/science/article/abs/pii/S0926580599000461;10.1016/S0926-5805(99)00046-1;;;;;;;hal-02562734;;;;;;;
Amphoux P.;1999;;De natures en artifices : Concepts, principes et réalisations;Le Philotope;;;n°4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hal-01566792;;;;;;;
Amphoux P.;1999;;L'aménagement du territoire peut-il être sensible ?;Collage : revue de la Fédération Suisse des Urbanistes;;;n°3;;;;;;pp. 32-35;;;;;;;;;;;;;;;;;;;;;;;;;hal-01564466;;;;;;;
Aventin C., Warren M., Tixier N., Desvignes A.;1999;;Filmographie commentée;1895 revue d’histoire du cinéma;;;n°28;;;;;;pp. 231-340;;;;;;;;;;;;;;;;;;;;;;;;;hal-01529300;;;;;;;
Desmontils E., Martin J.-Y.;1999;;Vers la conception assistée de modeleurs déclaratifs;Revue Internationale de CFAO et d'informatique graphique;;14;2;;;;;;133-153;;;;;;;;;;;;;;;;;;;;;;;;;hal-00816843;;;;;;;
Thomas R.;1999;;Cheminer l'espace en aveugle : corps stigmatisé, corps compétent;Alinéa;;;9;;;;;;9-24;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00143190;;;;;;;
Tixier N., Warren M., Aventin C.;1999;;Filmographie commentée;1895 revue d’histoire du cinéma;;;Numéro hors-série;;;;;;pp. 189-250;;;;;;;;;;;;;;;;;;;;;;;;;hal-01529292;;;;;;;
Woloszyn P.;1999;;Fractal modeling of diffusive urban configurations;Journal of the Acoustical Society of America;;105;1281 (1999);;;;;;;;;;;;;;;;;;;;;;;;10.1121/1.4777350;;;;;;;hal-01541215;;;;;;;
Amphoux P., Barbey G.;1998;;Entre architecture et sciences sociales : Débat non contradictoire;Matières;;;n°2;;;;;;p. 88-92;;;;;;;;;;;;;;;;;;;;;;;;;halshs-01567013;;;;;;;
Augoyard J.-F., Garcia S.;1998;;La compentencia social de la mirada estética;Espacios Pùblicos Urbanos;;vol.;n°;;;;;;pp.;;;;;;;;;;;;;;;;;;;;;;;;;hal-02103996;;;;;;;
Augoyard J.-F.;1998;;Éléments pour une théorie des ambiances architecturales et urbaines;Les Cahiers de la recherche architecturale;;3;42-43;;;;;;pp.7-23;;;;;;;;;;;;;;;;;;;;;;;;;hal-02103997;;;;;;;
Balaÿ O.;1998;;Lyon prépare son observatoire de l'environnement sonore;Annales des Ponts et Chaussees;;;88;;;;;;8 p.;;;;;;;;;;;;;;;;;;;;;;;;;hal-02161255;;;;;;;
Colin C., Desmontils E., Martin J.-Y., Mounier J.-P.;1998;;Working Modes with a Declarative Modeler;Computer Networks and Isdn Systems;;30;20-21;;;;;;1875-1886;;;;;;;;;;;;;;;;;;10.1016/S0169-7552(98)00176-7;;;;;;;hal-00816837;;;;;;;
Luciani A., Tixier N.;1998;;Effets sensibles en milieu urbain. Analyse in situ et expérimentation virtuelle;Acoustique et Techniques : trimestriel d'information des professionnels de l'acoustique;;;n°15;;;;;;pp. 11-15;;;;;;;;;;;;;;;;;;;;;;;;;hal-01520076;;;;;;;
Nivet M. L., Siret D.;1998;;Simulation inverse de l'accessibilité visuelle en milieu urbain;Revue Internationale de CFAO et d'informatique graphique;;13;1;;;;;;p. 93-110;;;;;;;;;;;;;;;;;;;;;;;;;halshs-02464653;;;;;;;
Oriol-Boyer C., Tixier N.;1998;;Produire avec Perec;Le Cabinet d'amateur. Revue d'études perecquiennes;;;n°7-8;;;;;;pp. 147-152;;;;;;;;;;;;;;;;;;;;;;;;;hal-01520078;;;;;;;
Thibaud J.-P., Balez S., Boyer N., Couic M.-C., Fiori S., Saraiva M., Thomas R., Tixier N.;1998;;Comment observer une ambiance ?;Les Cahiers de la recherche architecturale / Les Cahiers de la recherche architecturale et urbaine;;Ambiances architecturales et urbaines;n°42-43;;;;;;pp. 77-90.;;;;;;;;;;;;;;;;;;;;;;;;;hal-01520077;;;;;;;
Thibaud J.-P., Tixier N.;1998;;L’ordinaire du regard;Le Cabinet d'amateur. Revue d'études perecquiennes;;;n°7-8;;;;;;pp. 51-57;;;;;;;;;;;;;;;;;http://www.grenoble.archi.fr/cours-en-ligne/tixier/perec/perec.html;;;;;;;;hal-01518180;;;;;;;
Woloszyn P., Siret D.;1998;;Du complexe au simplexe : le modèle des objets ambiants;Les Cahiers de la recherche architecturale / Les Cahiers de la recherche architecturale et urbaine;;;43-44;;;;;;p. 49-61;;;;;;;;;;;;;;;;;;;;;;;;;halshs-02464640;;;;;;;
Chelkoff G.;1996;;Imaginaire sonore et environnement urbain;Les Cahiers de la recherche architecturale / Les Cahiers de la recherche architecturale et urbaine;;;38-39;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00143427;;;;;;;
Thibaud J.-P.;1996;;Mouvement et perception des ambiances souterraines;Les annales de la recherche;;;;;;;;;144-152 p.;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00379498;;;;;;;
Péneau J.-P.;1995;;Des densités aux rugosités. Les modalités instrumentales d'une transposition;Les Annales de la Recherche Urbaine;;67;;;;;;;128-134;;;;;;;;;;;;;;;;;;10.3406/aru.1995.1884;;;;;;;halshs-03204360;;;;;;;
Siret D.;1995;;Modélisation déclarative des modulateurs d'ambiance dans le projet architectural et urbain;Revue Internationale de CFAO et d'informatique graphique et d'informatique graphique;;10;5;;;;;;523-537;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00574284;;;;;;;
Augoyard J.-F.;1994;;L’environnement sensible et les ambiances architecturales;Espace Geographique;;;4;;;;;;pp.302-318;;;;;;;;;;;;;;;;;;;;;;;;;hal-02103999;;;;;;;
Thibaud J.-P.;1994;;Les mobilisations de l'auditeur-baladeur : une sociabilité publicative;Réseaux;;;65;;;;;;71-83;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00112117;;;;;;;
Augoyard J.-F.;1993;;Cinq sens pour s'approprier l'espace;Séminaires, projets urbain et grands ensembles;;;5-6;;;;;;pp.6-7;;;;;;;;;;;;;;;;;;;;;;;;;hal-02104001;;;;;;;
Augoyard J.-F.;1993;;O som sen palavras;Revista de comunicaçao e linguagens;;;17-18;;;;;;pp.133-143;;;;;;;;;;;;;;;;;;;;;;;;;hal-02104000;;;;;;;
Chelkoff G., Thibaud J.-P.;1992;;L'espace public, modes sensibles : le regard sur la ville;Les Annales de la Recherche Urbaine;;;57-58;;;;;;7-16;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00112653;;;;;;;
Augoyard J.-F.;1991;;Les qualités sonores de la territorialité humaine;Arch & Comport;;7;1;;;;;;13-24;;;;;;;;;;;;;;;;;https://www.epfl.ch/labs/lasur/wp-content/uploads/2018/05/AUGOYARD.pdf;;;;;;;;hal-02104003;;;;;;;
Augoyard J.-F.;1991;;Qualité sonore des espaces publics ou privés : Multiexposition et Multinuisances;Acoustique et Techniques;;;14;;;;;;pp. 6-7;;;;;;;;;;;;;;;;;;;;;;;;;hal-02104002;;;;;;;
Chelkoff G.;1991;;L'espace et son public : comment s'entendent-ils ?;Espaces et sociétés (Paris, France);;;62-63;;;;;;179-196;;;;;;;;;;;;;;;;;;;;;;;;;halshs-01229580;;;;;;;
Thibaud J.-P.;1991;;Temporalités sonores et interaction sociale;Architecture et Comportement/Architecture and Behaviour;;7;1;;;;;;63-74;;;;;;;;;;;;;;;;;;;;;;;;;halshs-00112108;;;;;;;
Augoyard J.-F.;1989;;Contribution à une théorie générale de l'expérience sonore : le concept d'effet sonore;Communication au 1er Congrès Francophone de Musicothérapie;;9;3;;;;;;pp.18-36;;;;;;;;;;;;;;;;;;;;;;;;;hal-02104005;;;;;;;
